minimum m,,,c is 1.110000,38.820000 with error 9.840473
Time elapsed was 366070437ns or 0.366070437s,366070437,0.366070437,,
minimum m,,,c is 1.110000,38.820000 with error 9.840473
Time elapsed was 345354909ns or 0.345354909s,345354909,0.345354909,,
minimum m,,,c is 1.110000,38.820000 with error 9.840473
Time elapsed was 310092087ns or 0.310092087s,310092087,0.310092087,,
minimum m,,,c is 1.110000,38.820000 with error 9.840473
Time elapsed was 364686677ns or 0.364686677s,364686677,0.364686677,,
minimum m,,,c is 1.110000,38.820000 with error 9.840473
Time elapsed was 332724760ns or 0.332724760s,332724760,0.33272476,,
minimum m,,,c is 1.110000,38.820000 with error 9.840473
Time elapsed was 345023007ns or 0.345023007s,345023007,0.345023007,,
minimum m,,,c is 1.110000,38.820000 with error 9.840473
Time elapsed was 406028828ns or 0.406028828s,406028828,0.406028828,,
minimum m,,,c is 1.110000,38.820000 with error 9.840473
Time elapsed was 311639609ns or 0.311639609s,311639609,0.311639609,,
minimum m,,,c is 1.110000,38.820000 with error 9.840473
Time elapsed was 327066999ns or 0.327066999s,327066999,0.327066999,,
minimum m,,,c is 1.110000,38.820000 with error 9.840473
Time elapsed was 392568842ns or 0.392568842s,392568842,0.392568842,,
 Mean Time,350125615.5,0.3501256155,,
