x,y
0,38.82
1,39.93
2,41.04
3,42.15
4,43.26
5,44.37
6,45.48
7,46.59
8,47.7
9,48.81
10,49.92
11,51.03
12,52.14
13,53.25
14,54.36
15,55.47
16,56.58
17,57.69
18,58.8
19,59.91
20,61.02
21,62.13
22,63.24
23,64.35
24,65.46
25,66.57
26,67.68
27,68.79
28,69.9
29,71.01
30,72.12
31,73.23
32,74.34
33,75.45
34,76.56
35,77.67
36,78.78
37,79.89
38,81
39,82.11
40,83.22
41,84.33
42,85.44
43,86.55
44,87.66
45,88.77
46,89.88
47,90.99
48,92.1
49,93.21
50,94.32
51,95.43
52,96.54
53,97.65
54,98.76
55,99.87
56,100.98
57,102.09
58,103.2
59,104.31
60,105.42
61,106.53
62,107.64
63,108.75
64,109.86
65,110.97
66,112.08
67,113.19
68,114.3
69,115.41
70,116.52
71,117.63
72,118.74
73,119.85
74,120.96
75,122.07
76,123.18
77,124.29
78,125.4
79,126.51
80,127.62
81,128.73
82,129.84
83,130.95
84,132.06
85,133.17
86,134.28
87,135.39
88,136.5
89,137.61
90,138.72
91,139.83
92,140.94
93,142.05
94,143.16
95,144.27
96,145.38
97,146.49
98,147.6
99,148.71
